,frame_step_ms,onset_tolerance_ms,event_tolerance_ms,event_label_delay_ms,event_label_window_ms,event_string_window_ms,event_tab_threshold,event_string_threshold,no_event_string_filter,onset_threshold,global_onset_threshold,event_decode_mode,event_chord_group_ms,use_global_onset_confirmation,global_confirm_window_ms,use_global_onset_fallback,global_fallback_max_notes,repeat_same_fret_policy,min_repeat_ms,repeat_onset_threshold,repeat_global_threshold,require_global_for_repeats,same_string_any_fret_min_ms,use_peak_picking,peak_smooth_ms,peak_pre_avg_ms,peak_post_avg_ms,peak_pre_max_ms,peak_post_max_ms,peak_combine_ms,frame_avg_tab_p,frame_avg_tab_r,frame_avg_tab_f,frame_concat_tab_p,frame_concat_tab_r,frame_concat_tab_f,frame_avg_pitch_p,frame_avg_pitch_r,frame_avg_pitch_f,frame_concat_pitch_p,frame_concat_pitch_r,frame_concat_pitch_f,frame_avg_tdr,frame_concat_tdr,frame_frame_avg_tab_f,note_avg_tab_f,frame_avg_onset_p,frame_avg_onset_r,frame_avg_onset_f,frame_concat_onset_p,frame_concat_onset_r,frame_concat_onset_f,onset_tp,onset_fp,onset_fn,global_avg_onset_p,global_avg_onset_r,global_avg_onset_f,global_concat_onset_p,global_concat_onset_r,global_concat_onset_f,global_onset_tp,global_onset_fp,global_onset_fn,frame_exact_onset_avg_p,frame_exact_onset_avg_r,frame_exact_onset_avg_f,frame_exact_onset_concat_p,frame_exact_onset_concat_r,frame_exact_onset_concat_f,event_avg_p,event_avg_r,event_avg_f,event_micro_p,event_micro_r,event_micro_f,event_tp,event_fp,event_fn,event_pitch_avg_p,event_pitch_avg_r,event_pitch_avg_f,event_pitch_micro_p,event_pitch_micro_r,event_pitch_micro_f,event_pitch_tp,event_pitch_fp,event_pitch_fn,event_avg_tdr,event_micro_tdr,notation_edit_avg_similarity,notation_edit_micro_similarity,notation_edit_distance,notation_edit_normalizer,notation_edit_pred_sonorities,notation_edit_gt_sonorities,notation_edit_matched_capacity,pitch_notation_edit_avg_similarity,pitch_notation_edit_micro_similarity,pitch_notation_edit_distance,pitch_notation_edit_normalizer,pitch_notation_edit_pred_sonorities,pitch_notation_edit_gt_sonorities,pitch_notation_edit_matched_capacity,notation_lcs_avg_similarity,notation_lcs_micro_similarity,notation_lcs_length,notation_lcs_normalizer,pitch_notation_lcs_avg_similarity,pitch_notation_lcs_micro_similarity,pitch_notation_lcs_length,pitch_notation_lcs_normalizer,notation_overlap_avg_similarity,notation_overlap_micro_similarity,notation_overlap_score,notation_overlap_normalizer,pitch_notation_overlap_avg_similarity,pitch_notation_overlap_micro_similarity,pitch_notation_overlap_score,pitch_notation_overlap_normalizer
No00,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.767,0.707,0.732,0.753,0.685,0.717,0.862,0.783,0.816,0.849,0.768,0.807,0.899,0.895,0.717,0.662,0.728,0.823,0.767,0.729,0.806,0.765,10657.000,3969.000,2566.000,0.919,0.750,0.810,0.922,0.684,0.786,5754.000,487.000,2654.000,0.431,0.486,0.453,0.438,0.485,0.460,0.621,0.730,0.662,0.592,0.665,0.627,8798.000,6059.000,4425.000,0.686,0.801,0.728,0.671,0.754,0.710,9975.000,4882.000,3248.000,0.906,0.882,0.546,0.500,7724.000,15434.000,5866.000,6123.000,7710.000,0.624,0.586,6305.000,15214.000,5866.000,6123.000,8909.000,0.378,0.348,2156.000,6201.000,0.440,0.405,2510.000,6201.000,0.578,0.556,3447.080,6201.000,0.653,0.633,3922.941,6201.000
No01,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.794,0.825,0.806,0.797,0.852,0.823,0.847,0.870,0.855,0.841,0.893,0.866,0.946,0.955,0.823,0.761,0.715,0.904,0.795,0.698,0.899,0.786,10134.000,4382.000,1134.000,0.886,0.786,0.819,0.880,0.761,0.816,6614.000,903.000,2082.000,0.400,0.504,0.444,0.399,0.513,0.449,0.698,0.849,0.761,0.667,0.844,0.745,9511.000,4740.000,1757.000,0.732,0.892,0.799,0.702,0.887,0.784,9998.000,4253.000,1270.000,0.950,0.951,0.661,0.629,5295.000,14267.000,6973.000,6910.000,8972.000,0.721,0.678,4474.000,13916.000,6973.000,6910.000,9442.000,0.537,0.548,3905.000,7129.000,0.600,0.614,4379.000,7129.000,0.694,0.697,4966.972,7129.000,0.748,0.753,5369.448,7129.000
No02,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.800,0.783,0.789,0.794,0.783,0.789,0.891,0.862,0.873,0.864,0.848,0.856,0.909,0.925,0.789,0.740,0.742,0.830,0.778,0.734,0.806,0.768,7789.000,2826.000,1870.000,0.915,0.790,0.833,0.911,0.724,0.807,5260.000,512.000,2010.000,0.416,0.465,0.436,0.404,0.444,0.423,0.694,0.806,0.740,0.662,0.770,0.712,7439.000,3792.000,2220.000,0.749,0.868,0.798,0.710,0.826,0.764,7975.000,3256.000,1684.000,0.929,0.933,0.637,0.590,4680.000,11427.000,5489.000,5632.000,6747.000,0.725,0.654,3860.000,11146.000,5489.000,5632.000,7286.000,0.515,0.487,2811.000,5773.000,0.604,0.561,3240.000,5773.000,0.667,0.649,3743.960,5773.000,0.744,0.716,4130.740,5773.000
No03,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.773,0.780,0.774,0.785,0.793,0.789,0.877,0.870,0.871,0.863,0.862,0.862,0.898,0.922,0.789,0.734,0.727,0.866,0.788,0.724,0.874,0.792,8180.000,3113.000,1178.000,0.895,0.781,0.817,0.895,0.696,0.783,4980.000,585.000,2173.000,0.445,0.527,0.481,0.432,0.522,0.473,0.678,0.809,0.734,0.648,0.800,0.716,7485.000,4071.000,1873.000,0.741,0.883,0.802,0.701,0.866,0.775,8104.000,3452.000,1254.000,0.914,0.924,0.622,0.582,4854.000,11604.000,5269.000,5340.000,6754.000,0.738,0.662,3785.000,11188.000,5269.000,5340.000,7403.000,0.492,0.470,2587.000,5506.000,0.611,0.583,3209.000,5506.000,0.652,0.639,3517.380,5506.000,0.750,0.731,4023.080,5506.000
No04,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.784,0.819,0.798,0.796,0.825,0.810,0.842,0.875,0.856,0.842,0.870,0.855,0.940,0.953,0.810,0.743,0.751,0.850,0.791,0.712,0.838,0.770,8590.000,3477.000,1663.000,0.891,0.809,0.836,0.887,0.745,0.810,5425.000,691.000,1855.000,0.455,0.511,0.478,0.426,0.501,0.460,0.705,0.805,0.743,0.639,0.782,0.703,8017.000,4534.000,2236.000,0.745,0.850,0.785,0.675,0.826,0.743,8466.000,4085.000,1787.000,0.945,0.947,0.674,0.596,5111.000,12664.000,5695.000,5838.000,7553.000,0.742,0.647,4386.000,12422.000,5695.000,5838.000,8036.000,0.555,0.499,2984.000,5977.000,0.626,0.565,3377.000,5977.000,0.696,0.654,3911.493,5977.000,0.756,0.712,4257.224,5977.000
No05,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.755,0.792,0.770,0.767,0.792,0.779,0.839,0.871,0.850,0.837,0.858,0.847,0.909,0.925,0.779,0.752,0.773,0.883,0.818,0.764,0.892,0.823,7778.000,2407.000,937.000,0.915,0.820,0.847,0.914,0.776,0.839,4722.000,444.000,1363.000,0.492,0.563,0.522,0.486,0.568,0.524,0.707,0.824,0.752,0.671,0.821,0.738,7151.000,3511.000,1564.000,0.766,0.895,0.816,0.716,0.876,0.788,7632.000,3030.000,1083.000,0.919,0.937,0.667,0.627,4031.000,10815.000,4892.000,4906.000,6784.000,0.762,0.690,3264.000,10541.000,4892.000,4906.000,7277.000,0.534,0.500,2529.000,5055.000,0.631,0.590,2983.000,5055.000,0.688,0.663,3351.910,5055.000,0.772,0.743,3757.755,5055.000
mean,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,,55.000,0.000,40.000,1.000,2.000,,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.779,0.785,0.778,0.782,0.788,0.785,0.860,0.855,0.853,0.849,0.850,0.849,0.917,0.929,0.785,0.732,0.739,0.859,0.789,0.727,0.853,0.784,8854.667,3362.333,1558.000,0.904,0.789,0.827,0.902,0.731,0.807,5459.167,603.667,2022.833,0.440,0.510,0.469,0.431,0.506,0.465,0.684,0.804,0.732,0.647,0.780,0.707,8066.833,4451.167,2345.833,0.737,0.865,0.788,0.696,0.839,0.760,8691.667,3826.333,1721.000,0.927,0.929,0.634,0.587,5282.500,12701.833,5697.333,5791.500,7420.000,0.719,0.653,4345.667,12404.500,5697.333,5791.500,8058.833,0.502,0.475,2828.667,5940.167,0.585,0.553,3283.000,5940.167,0.663,0.643,3823.132,5940.167,0.737,0.715,4243.531,5940.167
std,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.042,0.027,0.018,0.057,0.037,0.021,0.036,0.020,0.012,0.043,0.022,0.021,0.022,0.037,0.036,0.021,0.031,0.017,0.022,0.042,0.022,1241.385,732.584,605.681,0.014,0.024,0.014,0.017,0.036,0.021,668.493,170.343,421.458,0.032,0.034,0.031,0.031,0.041,0.034,0.032,0.040,0.036,0.029,0.062,0.042,915.878,909.764,1051.893,0.027,0.036,0.031,0.019,0.049,0.029,1037.905,701.846,795.737,0.018,0.025,0.048,0.047,1273.056,1805.906,711.507,689.420,873.095,0.049,0.037,1056.154,1828.363,711.507,689.420,924.674,0.064,0.068,597.263,704.653,0.072,0.075,617.237,704.653,0.045,0.047,596.556,704.653,0.042,0.043,577.573,704.653
