,frame_step_ms,onset_tolerance_ms,event_tolerance_ms,event_label_delay_ms,event_label_window_ms,event_string_window_ms,event_tab_threshold,event_string_threshold,no_event_string_filter,onset_threshold,global_onset_threshold,event_decode_mode,event_chord_group_ms,use_global_onset_confirmation,global_confirm_window_ms,use_global_onset_fallback,global_fallback_max_notes,repeat_same_fret_policy,min_repeat_ms,repeat_onset_threshold,repeat_global_threshold,require_global_for_repeats,same_string_any_fret_min_ms,use_peak_picking,peak_smooth_ms,peak_pre_avg_ms,peak_post_avg_ms,peak_pre_max_ms,peak_post_max_ms,peak_combine_ms,frame_avg_tab_p,frame_avg_tab_r,frame_avg_tab_f,frame_concat_tab_p,frame_concat_tab_r,frame_concat_tab_f,frame_avg_pitch_p,frame_avg_pitch_r,frame_avg_pitch_f,frame_concat_pitch_p,frame_concat_pitch_r,frame_concat_pitch_f,frame_avg_tdr,frame_concat_tdr,frame_frame_avg_tab_f,note_avg_tab_f,frame_avg_onset_p,frame_avg_onset_r,frame_avg_onset_f,frame_concat_onset_p,frame_concat_onset_r,frame_concat_onset_f,onset_tp,onset_fp,onset_fn,global_avg_onset_p,global_avg_onset_r,global_avg_onset_f,global_concat_onset_p,global_concat_onset_r,global_concat_onset_f,global_onset_tp,global_onset_fp,global_onset_fn,frame_exact_onset_avg_p,frame_exact_onset_avg_r,frame_exact_onset_avg_f,frame_exact_onset_concat_p,frame_exact_onset_concat_r,frame_exact_onset_concat_f,event_avg_p,event_avg_r,event_avg_f,event_micro_p,event_micro_r,event_micro_f,event_tp,event_fp,event_fn,event_pitch_avg_p,event_pitch_avg_r,event_pitch_avg_f,event_pitch_micro_p,event_pitch_micro_r,event_pitch_micro_f,event_pitch_tp,event_pitch_fp,event_pitch_fn,event_avg_tdr,event_micro_tdr,notation_edit_avg_similarity,notation_edit_micro_similarity,notation_edit_distance,notation_edit_normalizer,notation_edit_pred_sonorities,notation_edit_gt_sonorities,notation_edit_matched_capacity,pitch_notation_edit_avg_similarity,pitch_notation_edit_micro_similarity,pitch_notation_edit_distance,pitch_notation_edit_normalizer,pitch_notation_edit_pred_sonorities,pitch_notation_edit_gt_sonorities,pitch_notation_edit_matched_capacity,notation_lcs_avg_similarity,notation_lcs_micro_similarity,notation_lcs_length,notation_lcs_normalizer,pitch_notation_lcs_avg_similarity,pitch_notation_lcs_micro_similarity,pitch_notation_lcs_length,pitch_notation_lcs_normalizer,notation_overlap_avg_similarity,notation_overlap_micro_similarity,notation_overlap_score,notation_overlap_normalizer,pitch_notation_overlap_avg_similarity,pitch_notation_overlap_micro_similarity,pitch_notation_overlap_score,pitch_notation_overlap_normalizer
No00,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,3.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.666,0.695,0.676,0.665,0.688,0.676,0.807,0.812,0.804,0.792,0.808,0.800,0.848,0.854,0.676,0.559,0.574,0.865,0.681,0.600,0.873,0.711,11539.000,7681.000,1684.000,0.815,0.768,0.773,0.816,0.702,0.755,5903.000,1333.000,2505.000,0.362,0.548,0.430,0.378,0.550,0.448,0.475,0.718,0.559,0.470,0.663,0.550,8768.000,9879.000,4455.000,0.557,0.826,0.650,0.560,0.790,0.655,10445.000,8202.000,2778.000,0.860,0.839,0.439,0.424,10823.000,18781.000,6536.000,6123.000,7975.000,0.544,0.525,8628.000,18177.000,6536.000,6123.000,9549.000,0.277,0.263,1743.000,6640.000,0.358,0.334,2218.000,6640.000,0.476,0.468,3108.633,6640.000,0.580,0.567,3763.269,6640.000
No01,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,3.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.786,0.767,0.772,0.794,0.801,0.797,0.855,0.821,0.833,0.851,0.850,0.851,0.932,0.943,0.797,0.729,0.681,0.892,0.767,0.652,0.897,0.755,10103.000,5386.000,1165.000,0.880,0.787,0.819,0.872,0.762,0.814,6629.000,972.000,2067.000,0.390,0.511,0.439,0.380,0.522,0.440,0.665,0.822,0.729,0.623,0.817,0.707,9204.000,5564.000,2064.000,0.708,0.876,0.777,0.665,0.871,0.754,9820.000,4948.000,1448.000,0.936,0.937,0.626,0.587,6116.000,14800.000,7029.000,6910.000,8684.000,0.705,0.651,4974.000,14253.000,7029.000,6910.000,9279.000,0.498,0.508,3652.000,7187.000,0.578,0.590,4242.000,7187.000,0.662,0.664,4770.846,7187.000,0.730,0.733,5269.660,7187.000
No02,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,3.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.781,0.734,0.753,0.790,0.745,0.767,0.899,0.833,0.861,0.873,0.818,0.845,0.881,0.911,0.767,0.713,0.731,0.775,0.747,0.737,0.762,0.749,7356.000,2627.000,2303.000,0.919,0.786,0.832,0.916,0.719,0.806,5224.000,476.000,2046.000,0.394,0.417,0.402,0.396,0.409,0.403,0.675,0.770,0.713,0.653,0.748,0.697,7223.000,3834.000,2436.000,0.745,0.853,0.788,0.705,0.807,0.753,7799.000,3258.000,1860.000,0.906,0.926,0.608,0.574,4835.000,11340.000,5420.000,5632.000,6508.000,0.722,0.646,3903.000,11025.000,5420.000,5632.000,7122.000,0.478,0.457,2632.000,5756.000,0.605,0.561,3229.000,5756.000,0.637,0.624,3594.269,5756.000,0.742,0.713,4103.188,5756.000
No03,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,3.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.734,0.749,0.738,0.728,0.737,0.732,0.865,0.868,0.864,0.856,0.855,0.855,0.862,0.864,0.732,0.702,0.724,0.863,0.784,0.722,0.867,0.788,8117.000,3124.000,1241.000,0.901,0.779,0.818,0.901,0.695,0.785,4968.000,544.000,2185.000,0.444,0.527,0.480,0.435,0.522,0.474,0.648,0.775,0.702,0.601,0.751,0.667,7027.000,4673.000,2331.000,0.734,0.881,0.796,0.691,0.864,0.768,8082.000,3618.000,1276.000,0.876,0.869,0.598,0.541,5399.000,11758.000,5225.000,5340.000,6383.000,0.731,0.656,3887.000,11292.000,5225.000,5340.000,7405.000,0.471,0.448,2456.000,5486.000,0.598,0.572,3140.000,5486.000,0.628,0.609,3340.480,5486.000,0.744,0.725,3978.865,5486.000
No04,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,3.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.537,0.578,0.554,0.580,0.595,0.587,0.804,0.827,0.811,0.805,0.812,0.809,0.690,0.736,0.587,0.533,0.589,0.743,0.651,0.601,0.759,0.671,7785.000,5170.000,2468.000,0.865,0.816,0.830,0.860,0.752,0.802,5475.000,893.000,1805.000,0.347,0.436,0.383,0.357,0.452,0.399,0.478,0.621,0.533,0.442,0.592,0.506,6074.000,7671.000,4179.000,0.640,0.829,0.713,0.593,0.794,0.679,8146.000,5599.000,2107.000,0.738,0.746,0.446,0.400,8266.000,13776.000,5887.000,5838.000,5545.000,0.678,0.584,5441.000,13087.000,5887.000,5838.000,7646.000,0.326,0.300,1830.000,6109.000,0.551,0.497,3039.000,6109.000,0.475,0.453,2767.259,6109.000,0.703,0.663,4047.554,6109.000
No05,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,3.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.747,0.738,0.738,0.768,0.753,0.760,0.859,0.836,0.842,0.851,0.825,0.838,0.881,0.913,0.760,0.731,0.762,0.826,0.787,0.767,0.851,0.807,7414.000,2250.000,1301.000,0.934,0.803,0.846,0.934,0.760,0.838,4627.000,329.000,1458.000,0.481,0.522,0.497,0.491,0.545,0.516,0.694,0.794,0.731,0.664,0.798,0.725,6958.000,3519.000,1757.000,0.764,0.877,0.806,0.714,0.859,0.780,7483.000,2994.000,1232.000,0.905,0.930,0.635,0.608,4180.000,10663.000,4733.000,4906.000,6483.000,0.761,0.685,3263.000,10345.000,4733.000,4906.000,7082.000,0.488,0.456,2272.000,4978.000,0.624,0.581,2892.000,4978.000,0.660,0.637,3172.339,4978.000,0.770,0.740,3684.119,4978.000
mean,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,,55.000,0.000,40.000,1.000,3.000,,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.709,0.710,0.705,0.721,0.720,0.720,0.848,0.833,0.836,0.838,0.828,0.833,0.849,0.870,0.720,0.661,0.677,0.827,0.736,0.680,0.835,0.747,8719.000,4373.000,1693.667,0.886,0.790,0.820,0.883,0.732,0.800,5471.000,757.833,2011.000,0.403,0.493,0.439,0.406,0.500,0.447,0.606,0.750,0.661,0.576,0.728,0.642,7542.333,5856.667,2870.333,0.691,0.857,0.755,0.655,0.831,0.732,8629.167,4769.833,1783.500,0.870,0.875,0.559,0.522,6603.167,13519.667,5805.000,5791.500,6929.667,0.690,0.624,5016.000,13029.833,5805.000,5791.500,8013.833,0.423,0.405,2430.833,6026.000,0.552,0.523,3126.667,6026.000,0.590,0.576,3458.971,6026.000,0.712,0.690,4141.109,6026.000
std,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.094,0.069,0.081,0.084,0.071,0.077,0.037,0.019,0.025,0.032,0.020,0.023,0.083,0.074,0.077,0.090,0.078,0.058,0.057,0.072,0.059,0.050,1712.508,2084.221,567.372,0.043,0.017,0.025,0.043,0.030,0.028,714.697,375.235,354.095,0.051,0.054,0.044,0.049,0.057,0.044,0.101,0.072,0.090,0.096,0.085,0.091,1194.017,2470.367,1148.302,0.079,0.025,0.061,0.064,0.038,0.051,1204.247,1962.905,595.618,0.070,0.074,0.091,0.088,2500.300,3013.355,857.096,689.420,1163.088,0.077,0.059,1939.864,2906.561,857.096,689.420,1106.982,0.096,0.099,691.620,799.326,0.098,0.098,654.683,799.326,0.089,0.091,698.101,799.326,0.068,0.066,576.497,799.326
