,frame_step_ms,onset_tolerance_ms,event_tolerance_ms,event_label_delay_ms,event_label_window_ms,event_string_window_ms,event_tab_threshold,event_string_threshold,no_event_string_filter,onset_threshold,global_onset_threshold,event_decode_mode,event_chord_group_ms,use_global_onset_confirmation,global_confirm_window_ms,use_global_onset_fallback,global_fallback_max_notes,repeat_same_fret_policy,min_repeat_ms,repeat_onset_threshold,repeat_global_threshold,require_global_for_repeats,same_string_any_fret_min_ms,use_peak_picking,peak_smooth_ms,peak_pre_avg_ms,peak_post_avg_ms,peak_pre_max_ms,peak_post_max_ms,peak_combine_ms,frame_avg_tab_p,frame_avg_tab_r,frame_avg_tab_f,frame_concat_tab_p,frame_concat_tab_r,frame_concat_tab_f,frame_avg_pitch_p,frame_avg_pitch_r,frame_avg_pitch_f,frame_concat_pitch_p,frame_concat_pitch_r,frame_concat_pitch_f,frame_avg_tdr,frame_concat_tdr,frame_frame_avg_tab_f,note_avg_tab_f,frame_avg_onset_p,frame_avg_onset_r,frame_avg_onset_f,frame_concat_onset_p,frame_concat_onset_r,frame_concat_onset_f,onset_tp,onset_fp,onset_fn,global_avg_onset_p,global_avg_onset_r,global_avg_onset_f,global_concat_onset_p,global_concat_onset_r,global_concat_onset_f,global_onset_tp,global_onset_fp,global_onset_fn,frame_exact_onset_avg_p,frame_exact_onset_avg_r,frame_exact_onset_avg_f,frame_exact_onset_concat_p,frame_exact_onset_concat_r,frame_exact_onset_concat_f,event_avg_p,event_avg_r,event_avg_f,event_micro_p,event_micro_r,event_micro_f,event_tp,event_fp,event_fn,event_pitch_avg_p,event_pitch_avg_r,event_pitch_avg_f,event_pitch_micro_p,event_pitch_micro_r,event_pitch_micro_f,event_pitch_tp,event_pitch_fp,event_pitch_fn,event_avg_tdr,event_micro_tdr,notation_edit_avg_similarity,notation_edit_micro_similarity,notation_edit_distance,notation_edit_normalizer,notation_edit_pred_sonorities,notation_edit_gt_sonorities,notation_edit_matched_capacity,pitch_notation_edit_avg_similarity,pitch_notation_edit_micro_similarity,pitch_notation_edit_distance,pitch_notation_edit_normalizer,pitch_notation_edit_pred_sonorities,pitch_notation_edit_gt_sonorities,pitch_notation_edit_matched_capacity,notation_lcs_avg_similarity,notation_lcs_micro_similarity,notation_lcs_length,notation_lcs_normalizer,pitch_notation_lcs_avg_similarity,pitch_notation_lcs_micro_similarity,pitch_notation_lcs_length,pitch_notation_lcs_normalizer,notation_overlap_avg_similarity,notation_overlap_micro_similarity,notation_overlap_score,notation_overlap_normalizer,pitch_notation_overlap_avg_similarity,pitch_notation_overlap_micro_similarity,pitch_notation_overlap_score,pitch_notation_overlap_normalizer
No00,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.666,0.761,0.688,0.679,0.777,0.725,0.683,0.781,0.706,0.697,0.798,0.744,0.964,0.978,0.725,0.652,0.664,0.729,0.678,0.685,0.681,0.683,4422.000,2032.000,2076.000,0.821,0.826,0.816,0.838,0.812,0.825,2873.000,554.000,664.000,0.284,0.317,0.293,0.284,0.282,0.283,0.603,0.757,0.652,0.595,0.725,0.654,4708.000,3200.000,1790.000,0.615,0.773,0.665,0.608,0.740,0.667,4808.000,3100.000,1690.000,0.964,0.979,0.545,0.529,3899.000,8284.000,3130.000,2995.000,4385.000,0.566,0.549,3703.000,8207.000,3130.000,2995.000,4504.000,0.337,0.323,1045.000,3236.000,0.357,0.341,1103.000,3236.000,0.562,0.562,1818.905,3236.000,0.583,0.581,1881.349,3236.000
No01,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.744,0.788,0.752,0.743,0.815,0.777,0.762,0.799,0.767,0.753,0.825,0.787,0.988,0.992,0.777,0.640,0.635,0.730,0.669,0.679,0.723,0.700,4550.000,2153.000,1746.000,0.818,0.783,0.789,0.805,0.764,0.784,2367.000,573.000,732.000,0.245,0.289,0.261,0.264,0.281,0.272,0.590,0.743,0.640,0.604,0.726,0.659,4569.000,2999.000,1727.000,0.601,0.755,0.651,0.610,0.733,0.666,4615.000,2953.000,1681.000,0.925,0.990,0.550,0.550,3592.000,7979.000,2712.000,2518.000,4387.000,0.576,0.564,3427.000,7866.000,2712.000,2518.000,4439.000,0.305,0.299,830.000,2779.000,0.342,0.331,919.000,2779.000,0.556,0.550,1527.492,2779.000,0.579,0.572,1589.914,2779.000
No02,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.715,0.717,0.701,0.706,0.716,0.711,0.746,0.751,0.731,0.727,0.738,0.732,0.960,0.975,0.711,0.646,0.643,0.765,0.679,0.644,0.742,0.689,3389.000,1875.000,1180.000,0.808,0.830,0.806,0.810,0.838,0.824,2248.000,527.000,436.000,0.247,0.297,0.262,0.243,0.280,0.261,0.589,0.760,0.646,0.556,0.745,0.637,3403.000,2717.000,1166.000,0.610,0.790,0.669,0.574,0.768,0.657,3510.000,2610.000,1059.000,0.948,0.970,0.560,0.524,3029.000,6370.000,2566.000,2382.000,3341.000,0.586,0.548,2849.000,6300.000,2566.000,2382.000,3451.000,0.383,0.383,1003.000,2616.000,0.403,0.404,1057.000,2616.000,0.579,0.576,1506.627,2616.000,0.605,0.600,1570.551,2616.000
No03,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.698,0.706,0.687,0.719,0.750,0.735,0.727,0.726,0.707,0.740,0.771,0.755,0.922,0.978,0.735,0.608,0.592,0.735,0.642,0.620,0.778,0.690,3819.000,2340.000,1088.000,0.803,0.837,0.809,0.807,0.849,0.828,2726.000,652.000,483.000,0.256,0.314,0.277,0.260,0.327,0.290,0.548,0.733,0.608,0.554,0.770,0.644,3778.000,3045.000,1129.000,0.571,0.758,0.630,0.566,0.787,0.658,3862.000,2961.000,1045.000,0.908,0.978,0.527,0.520,3374.000,7023.000,3003.000,2868.000,3650.000,0.560,0.541,3175.000,6921.000,3003.000,2868.000,3746.000,0.375,0.383,1196.000,3124.000,0.409,0.413,1290.000,3124.000,0.554,0.567,1772.792,3124.000,0.588,0.595,1859.795,3124.000
No04,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.752,0.794,0.759,0.751,0.758,0.754,0.762,0.806,0.770,0.761,0.769,0.765,0.975,0.990,0.754,0.664,0.669,0.748,0.689,0.694,0.691,0.692,4317.000,1906.000,1930.000,0.851,0.813,0.817,0.868,0.790,0.828,2579.000,391.000,684.000,0.275,0.310,0.284,0.288,0.287,0.287,0.617,0.770,0.664,0.626,0.719,0.669,4491.000,2684.000,1756.000,0.623,0.778,0.671,0.633,0.727,0.677,4540.000,2635.000,1707.000,0.967,0.989,0.554,0.535,3625.000,7798.000,2791.000,2740.000,4173.000,0.567,0.547,3505.000,7736.000,2791.000,2740.000,4231.000,0.334,0.329,970.000,2951.000,0.348,0.345,1017.000,2951.000,0.562,0.567,1672.090,2951.000,0.575,0.580,1710.854,2951.000
No05,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.669,0.743,0.687,0.680,0.734,0.706,0.686,0.762,0.704,0.698,0.752,0.724,0.980,0.980,0.706,0.614,0.639,0.744,0.670,0.694,0.689,0.692,4785.000,2110.000,2158.000,0.819,0.805,0.799,0.834,0.773,0.803,2665.000,530.000,781.000,0.272,0.316,0.285,0.297,0.295,0.296,0.553,0.745,0.614,0.589,0.671,0.627,4661.000,3253.000,2282.000,0.563,0.757,0.625,0.601,0.685,0.640,4757.000,3157.000,2186.000,0.981,0.980,0.499,0.502,4391.000,8815.000,2998.000,2794.000,4424.000,0.521,0.521,4187.000,8735.000,2998.000,2794.000,4548.000,0.255,0.254,789.000,3103.000,0.276,0.267,827.000,3103.000,0.513,0.519,1610.325,3103.000,0.531,0.536,1663.193,3103.000
mean,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,,55.000,0.000,40.000,1.000,2.000,,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.707,0.752,0.712,0.713,0.758,0.735,0.728,0.771,0.731,0.729,0.775,0.751,0.965,0.982,0.735,0.637,0.640,0.742,0.671,0.669,0.717,0.691,4213.667,2069.333,1696.333,0.820,0.816,0.806,0.827,0.804,0.815,2576.333,537.833,630.000,0.263,0.307,0.277,0.273,0.292,0.281,0.583,0.751,0.637,0.587,0.726,0.648,4268.333,2983.000,1641.667,0.597,0.768,0.652,0.599,0.740,0.661,4348.667,2902.667,1561.333,0.949,0.981,0.539,0.527,3651.667,7711.500,2866.667,2716.167,4060.000,0.563,0.545,3474.333,7627.500,2866.667,2716.167,4153.167,0.332,0.328,972.167,2968.167,0.356,0.350,1035.500,2968.167,0.554,0.557,1651.372,2968.167,0.577,0.577,1712.610,2968.167
std,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.036,0.034,0.030,0.035,0.027,0.036,0.031,0.031,0.027,0.032,0.023,0.023,0.007,0.027,0.022,0.027,0.014,0.016,0.030,0.038,0.006,515.647,171.902,458.480,0.017,0.020,0.011,0.025,0.035,0.018,232.337,85.171,138.940,0.016,0.011,0.013,0.020,0.018,0.013,0.028,0.013,0.022,0.028,0.033,0.015,543.453,238.431,433.928,0.025,0.014,0.020,0.025,0.035,0.012,533.942,231.024,438.461,0.028,0.008,0.023,0.016,464.084,882.968,212.239,227.317,456.701,0.023,0.014,456.948,882.318,212.239,227.317,452.893,0.047,0.050,148.407,234.222,0.048,0.054,159.484,234.222,0.022,0.020,127.453,234.222,0.024,0.023,132.526,234.222
