,frame_step_ms,onset_tolerance_ms,event_tolerance_ms,event_label_delay_ms,event_label_window_ms,event_string_window_ms,event_tab_threshold,event_string_threshold,no_event_string_filter,onset_threshold,global_onset_threshold,event_decode_mode,event_chord_group_ms,use_global_onset_confirmation,global_confirm_window_ms,use_global_onset_fallback,global_fallback_max_notes,repeat_same_fret_policy,min_repeat_ms,repeat_onset_threshold,repeat_global_threshold,require_global_for_repeats,same_string_any_fret_min_ms,use_peak_picking,peak_smooth_ms,peak_pre_avg_ms,peak_post_avg_ms,peak_pre_max_ms,peak_post_max_ms,peak_combine_ms,frame_avg_tab_p,frame_avg_tab_r,frame_avg_tab_f,frame_concat_tab_p,frame_concat_tab_r,frame_concat_tab_f,frame_avg_pitch_p,frame_avg_pitch_r,frame_avg_pitch_f,frame_concat_pitch_p,frame_concat_pitch_r,frame_concat_pitch_f,frame_avg_tdr,frame_concat_tdr,frame_frame_avg_tab_f,note_avg_tab_f,frame_avg_onset_p,frame_avg_onset_r,frame_avg_onset_f,frame_concat_onset_p,frame_concat_onset_r,frame_concat_onset_f,onset_tp,onset_fp,onset_fn,global_avg_onset_p,global_avg_onset_r,global_avg_onset_f,global_concat_onset_p,global_concat_onset_r,global_concat_onset_f,global_onset_tp,global_onset_fp,global_onset_fn,frame_exact_onset_avg_p,frame_exact_onset_avg_r,frame_exact_onset_avg_f,frame_exact_onset_concat_p,frame_exact_onset_concat_r,frame_exact_onset_concat_f,event_avg_p,event_avg_r,event_avg_f,event_micro_p,event_micro_r,event_micro_f,event_tp,event_fp,event_fn,event_pitch_avg_p,event_pitch_avg_r,event_pitch_avg_f,event_pitch_micro_p,event_pitch_micro_r,event_pitch_micro_f,event_pitch_tp,event_pitch_fp,event_pitch_fn,event_avg_tdr,event_micro_tdr,notation_edit_avg_similarity,notation_edit_micro_similarity,notation_edit_distance,notation_edit_normalizer,notation_edit_pred_sonorities,notation_edit_gt_sonorities,notation_edit_matched_capacity,pitch_notation_edit_avg_similarity,pitch_notation_edit_micro_similarity,pitch_notation_edit_distance,pitch_notation_edit_normalizer,pitch_notation_edit_pred_sonorities,pitch_notation_edit_gt_sonorities,pitch_notation_edit_matched_capacity,notation_lcs_avg_similarity,notation_lcs_micro_similarity,notation_lcs_length,notation_lcs_normalizer,pitch_notation_lcs_avg_similarity,pitch_notation_lcs_micro_similarity,pitch_notation_lcs_length,pitch_notation_lcs_normalizer,notation_overlap_avg_similarity,notation_overlap_micro_similarity,notation_overlap_score,notation_overlap_normalizer,pitch_notation_overlap_avg_similarity,pitch_notation_overlap_micro_similarity,pitch_notation_overlap_score,pitch_notation_overlap_normalizer
No00,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.520,0.576,0.530,0.547,0.601,0.573,0.701,0.730,0.695,0.692,0.742,0.716,0.777,0.814,0.573,0.493,0.576,0.713,0.625,0.614,0.693,0.651,4505.000,2828.000,1993.000,0.808,0.838,0.810,0.808,0.825,0.816,2917.000,695.000,620.000,0.235,0.296,0.257,0.245,0.276,0.260,0.441,0.595,0.493,0.470,0.592,0.524,3848.000,4345.000,2650.000,0.551,0.746,0.617,0.573,0.723,0.640,4698.000,3495.000,1800.000,0.779,0.819,0.396,0.416,4966.000,8503.000,3181.000,2995.000,3538.000,0.546,0.544,3679.000,8070.000,3181.000,2995.000,4391.000,0.204,0.202,655.000,3236.000,0.347,0.345,1115.000,3236.000,0.419,0.429,1389.401,3236.000,0.572,0.584,1888.868,3236.000
No01,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.550,0.568,0.543,0.621,0.637,0.629,0.725,0.725,0.705,0.734,0.741,0.738,0.777,0.863,0.629,0.515,0.573,0.648,0.597,0.639,0.686,0.662,4321.000,2436.000,1975.000,0.813,0.781,0.785,0.812,0.765,0.788,2370.000,550.000,729.000,0.212,0.242,0.222,0.247,0.265,0.256,0.475,0.595,0.515,0.510,0.613,0.557,3860.000,3715.000,2436.000,0.569,0.720,0.620,0.591,0.711,0.645,4476.000,3099.000,1820.000,0.784,0.862,0.437,0.463,4224.000,7862.000,2709.000,2518.000,3639.000,0.553,0.559,3363.000,7628.000,2709.000,2518.000,4265.000,0.212,0.200,552.000,2765.000,0.320,0.322,890.000,2765.000,0.440,0.430,1187.793,2765.000,0.561,0.563,1557.368,2765.000
No02,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.524,0.553,0.520,0.543,0.559,0.551,0.675,0.692,0.661,0.669,0.671,0.670,0.807,0.837,0.551,0.509,0.571,0.715,0.614,0.587,0.726,0.649,3315.000,2333.000,1254.000,0.773,0.831,0.788,0.785,0.840,0.811,2255.000,619.000,429.000,0.219,0.280,0.239,0.214,0.265,0.237,0.454,0.626,0.509,0.439,0.613,0.512,2803.000,3575.000,1766.000,0.539,0.749,0.607,0.518,0.723,0.603,3303.000,3075.000,1266.000,0.821,0.849,0.423,0.411,3906.000,6631.000,2603.000,2382.000,2735.000,0.537,0.513,3067.000,6297.000,2603.000,2382.000,3232.000,0.233,0.237,631.000,2657.000,0.334,0.349,927.000,2657.000,0.440,0.436,1158.964,2657.000,0.555,0.557,1480.578,2657.000
No03,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.529,0.496,0.504,0.559,0.539,0.549,0.738,0.660,0.687,0.740,0.693,0.716,0.715,0.781,0.549,0.465,0.514,0.678,0.573,0.550,0.734,0.629,3602.000,2942.000,1305.000,0.797,0.836,0.806,0.798,0.850,0.823,2729.000,691.000,480.000,0.209,0.278,0.234,0.222,0.297,0.254,0.413,0.574,0.465,0.419,0.600,0.494,2946.000,4084.000,1961.000,0.526,0.725,0.590,0.520,0.745,0.613,3658.000,3372.000,1249.000,0.749,0.805,0.386,0.386,4432.000,7220.000,3029.000,2868.000,2791.000,0.534,0.518,3264.000,6766.000,3029.000,2868.000,3502.000,0.252,0.258,811.000,3147.000,0.373,0.395,1244.000,3147.000,0.425,0.424,1334.125,3147.000,0.571,0.578,1818.410,3147.000
No04,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.612,0.594,0.590,0.633,0.585,0.608,0.757,0.706,0.716,0.761,0.685,0.721,0.826,0.858,0.608,0.526,0.586,0.700,0.616,0.624,0.649,0.636,4053.000,2445.000,2194.000,0.821,0.804,0.796,0.849,0.786,0.816,2564.000,455.000,699.000,0.231,0.284,0.247,0.242,0.251,0.247,0.484,0.630,0.526,0.515,0.600,0.554,3746.000,3524.000,2501.000,0.556,0.729,0.607,0.586,0.681,0.630,4257.000,3013.000,1990.000,0.843,0.880,0.422,0.429,4543.000,7953.000,2826.000,2740.000,3410.000,0.532,0.517,3640.000,7542.000,2826.000,2740.000,3902.000,0.210,0.208,619.000,2969.000,0.311,0.313,928.000,2969.000,0.440,0.447,1325.993,2969.000,0.545,0.554,1644.886,2969.000
No05,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,string_onset,55.000,0.000,40.000,1.000,2.000,strong_onset,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.495,0.483,0.479,0.514,0.480,0.497,0.728,0.675,0.684,0.728,0.666,0.696,0.709,0.724,0.497,0.450,0.573,0.679,0.606,0.646,0.677,0.661,4697.000,2572.000,2246.000,0.806,0.804,0.791,0.831,0.777,0.803,2676.000,546.000,770.000,0.238,0.282,0.252,0.281,0.294,0.288,0.402,0.546,0.450,0.421,0.474,0.446,3293.000,4528.000,3650.000,0.546,0.733,0.607,0.600,0.676,0.636,4692.000,3129.000,2251.000,0.732,0.702,0.359,0.353,5642.000,8724.000,3009.000,2794.000,3087.000,0.517,0.534,3922.000,8408.000,3009.000,2794.000,4486.000,0.177,0.175,540.000,3084.000,0.287,0.281,868.000,3084.000,0.376,0.376,1158.909,3084.000,0.531,0.541,1668.677,3084.000
mean,23.220,50.000,50.000,20.000,90.000,50.000,0.300,0.300,0.000,0.800,0.800,,55.000,0.000,40.000,1.000,2.000,,250.000,0.940,0.750,1.000,80.000,1.000,0.000,0.000,0.000,30.000,30.000,30.000,0.539,0.545,0.528,0.570,0.567,0.568,0.721,0.698,0.691,0.721,0.700,0.709,0.768,0.813,0.568,0.493,0.566,0.689,0.605,0.610,0.694,0.648,4082.167,2592.667,1827.833,0.803,0.816,0.796,0.814,0.807,0.810,2585.167,592.667,621.167,0.224,0.277,0.242,0.242,0.275,0.257,0.445,0.594,0.493,0.462,0.582,0.514,3416.000,3961.833,2494.000,0.548,0.734,0.608,0.565,0.710,0.628,4180.667,3197.167,1729.333,0.785,0.820,0.404,0.410,4618.833,7815.500,2892.833,2716.167,3200.000,0.536,0.531,3489.167,7451.833,2892.833,2716.167,3963.000,0.215,0.213,634.667,2976.333,0.329,0.334,995.333,2976.333,0.423,0.424,1259.197,2976.333,0.556,0.563,1676.464,2976.333
std,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.045,0.038,0.047,0.054,0.047,0.029,0.028,0.019,0.034,0.034,0.024,0.048,0.053,0.047,0.030,0.026,0.026,0.018,0.036,0.032,0.013,535.501,241.503,438.296,0.017,0.023,0.010,0.023,0.036,0.013,242.820,93.579,139.065,0.012,0.018,0.013,0.023,0.018,0.017,0.033,0.032,0.030,0.043,0.053,0.041,469.991,420.607,660.024,0.015,0.011,0.011,0.036,0.027,0.016,577.170,190.996,399.674,0.042,0.064,0.029,0.037,611.895,784.443,217.872,227.317,386.611,0.012,0.018,313.361,792.409,217.872,227.317,509.612,0.026,0.029,97.531,225.759,0.030,0.039,150.112,225.759,0.025,0.025,102.208,225.759,0.016,0.016,154.193,225.759
